"","x"
"906",1
"905",1
"904",2
"903",3
"902",4
"901",5
"900",6
"899",4
"898",7
"897",8
"896",9
"895",10
"894",11
"893",12
"892",13
"891",13
"890",14
"889",15
"888",13
"887",16
"886",13
"885",13
"884",17
"883",13
"882",18
"881",18
"880",18
"879",19
"878",20
"877",21
"876",22
"875",23
"874",23
"873",24
"872",23
"871",25
"870",26
"869",27
"868",28
"867",29
"866",30
"865",31
"864",26
"863",32
"862",33
"861",27
"860",32
"859",34
"858",35
"857",36
"856",37
"855",38
"854",39
"853",40
"852",41
"851",42
"850",42
"849",43
"848",44
"847",45
"846",44
"845",46
"844",45
"843",19
"842",19
"841",19
"840",47
"839",8
"838",48
"837",48
"836",31
"835",23
"834",12
"833",39
"832",49
"831",23
"830",33
"829",50
"828",50
"827",51
"826",31
"825",28
"824",6
"823",52
"822",22
"821",53
"820",20
"819",31
"818",30
"817",7
"816",2
"815",3
"814",54
"813",13
"812",13
"811",36
"810",42
"809",15
"808",13
"807",16
"806",55
"805",56
"804",23
"803",57
"802",57
"801",20
"800",23
"799",20
"798",20
"797",58
"796",59
"795",11
"794",60
"793",8
"792",61
"791",26
"790",62
"789",63
"788",64
"787",64
"786",6
"785",4
"784",65
"783",8
"782",9
"781",10
"780",11
"779",12
"778",13
"777",13
"776",14
"775",15
"774",13
"773",16
"772",13
"771",13
"770",17
"769",13
"768",18
"767",18
"766",23
"765",18
"764",23
"763",23
"762",19
"761",20
"760",66
"759",67
"758",25
"757",23
"756",24
"755",68
"754",2
"753",69
"752",30
"751",7
"750",70
"749",67
"748",26
"747",63
"746",12
"745",71
"744",72
"743",73
"742",74
"741",75
"740",72
"739",76
"738",23
"737",23
"736",23
"735",23
"734",23
"733",23
"732",23
"731",23
"730",23
"729",23
"728",23
"727",23
"726",23
"725",23
"724",77
"723",77
"722",78
"721",23
"720",23
"719",23
"718",23
"717",77
"716",23
"715",77
"714",23
"713",23
"712",23
"711",23
"710",23
"709",23
"708",23
"707",23
"706",23
"705",23
"704",23
"703",23
"702",23
"701",23
"700",79
"699",80
"698",77
"697",77
"696",23
"695",23
"694",23
"693",23
"692",77
"691",23
"690",77
"689",23
"688",23
"687",23
"686",23
"685",23
"684",23
"683",23
"682",23
"681",23
"680",23
"679",23
"678",23
"677",23
"676",23
"675",23
"674",81
"673",82
"672",82
"671",78
"670",30
"669",23
"668",23
"667",23
"666",23
"665",23
"664",23
"663",77
"662",23
"661",23
"660",23
"659",23
"658",23
"657",23
"656",23
"655",23
"654",23
"653",23
"652",23
"651",23
"650",23
"649",23
"648",77
"647",78
"646",78
"645",23
"644",23
"643",77
"642",23
"641",77
"640",23
"639",77
"638",23
"637",23
"636",23
"635",23
"634",23
