"","x"
"777",1
"776",1
"775",2
"774",3
"773",4
"772",5
"771",6
"770",4
"769",7
"768",8
"767",9
"766",10
"765",11
"764",12
"763",13
"762",14
"761",15
"760",16
"759",13
"758",17
"757",18
"756",19
"755",13
"754",20
"753",21
"752",21
"751",21
"750",14
"749",22
"748",23
"747",24
"746",25
"745",26
"744",27
"743",27
"742",28
"741",29
"740",30
"739",27
"738",31
"737",32
"736",30
"735",33
"734",34
"733",35
"732",36
"731",37
"730",38
"729",39
"728",34
"727",24
"726",40
"725",40
"724",41
"723",42
"722",43
"721",42
"720",44
"719",43
"718",14
"717",14
"716",14
"715",45
"714",46
"713",47
"712",48
"711",12
"710",39
"709",49
"708",50
"707",32
"706",51
"705",51
"704",52
"703",6
"702",53
"701",54
"700",22
"699",55
"698",2
"697",3
"696",56
"695",13
"694",57
"693",36
"692",40
"691",16
"690",13
"689",17
"688",58
"687",59
"686",60
"685",60
"684",22
"683",22
"682",22
"681",61
"680",62
"679",11
"678",63
"677",8
"676",64
"675",61
"674",33
"673",65
"672",66
"671",66
"670",6
"669",4
"668",67
"667",8
"666",9
"665",10
"664",11
"663",12
"662",13
"661",14
"660",68
"659",16
"658",13
"657",17
"656",18
"655",19
"654",13
"653",20
"652",21
"651",21
"650",21
"649",14
"648",22
"647",6
"646",69
"645",26
"644",24
"643",25
"642",2
"641",28
"640",29
"639",7
"638",70
"637",69
"636",27
"635",22
"634",12
"633",71
"632",72
"631",21
"630",8
"629",73
"628",72
"627",74
"626",75
"625",75
"624",76
"623",76
"622",77
"621",76
"620",76
"619",75
"618",75
"617",78
"616",79
"615",76
"614",76
"613",76
"612",76
"611",75
"610",75
"609",50
"608",80
"607",80
"606",77
"605",81
"604",76
"603",75
"602",75
"601",76
"600",76
"599",77
"598",76
"597",76
"596",76
"595",75
"594",75
"593",76
"592",76
"591",77
"590",76
"589",76
"588",82
"587",82
"586",83
"585",82
"584",82
"583",82
"582",82
"581",49
"580",84
"579",77
"578",76
"577",85
"576",86
"575",86
"574",81
"573",81
"572",87
"571",88
"570",88
"569",88
"568",88
"567",89
"566",55
"565",6
"564",53
"563",90
"562",91
"561",92
"560",93
"559",94
"558",14
"557",95
"556",94
"555",26
"554",46
"553",33
"552",22
"551",25
"550",94
"549",96
"548",97
"547",78
"546",98
"545",99
"544",99
"543",99
"542",99
"541",99
"540",100
"539",101
"538",102
"537",103
"536",98
"535",25
"534",104
"533",105
"532",106
"531",107
"530",106
"529",104
"528",108
"527",109
"526",110
"525",111
"524",112
"523",113
"522",114
"521",115
"520",116
"519",107
"518",112
"517",117
"516",118
"515",50
"514",119
"513",104
"512",119
"511",120
"510",120
"509",121
"508",122
"507",118
"506",118
"505",123
"504",118
"503",124
"502",124
"501",125
"500",126
"499",126
"498",126
"497",126
"496",126
"495",126
"494",126
"493",126
"492",126
"491",126
"490",126
"489",126
"488",126
"487",126
"486",127
"485",127
"484",127
"483",127
"482",128
"481",129
"480",130
"479",128
"478",129
"477",131
"476",128
"475",98
"474",98
"473",102
"472",132
"471",133
"470",134
"469",135
"468",34
"467",136
"466",35
"465",137
"464",121
"463",138
"462",60
"461",139
"460",139
"459",139
"458",140
"457",141
"456",107
"455",142
"454",143
"453",112
"452",35
"451",35
"450",35
"449",35
"448",24
"447",144
"446",21
"445",145
"444",146
"443",147
"442",147
"441",147
"440",137
"439",112
"438",143
"437",148
"436",148
"435",99
"434",148
"433",148
"432",149
"431",150
"430",71
"429",78
"428",28
"427",151
"426",152
"425",151
"424",153
"423",154
"422",99
"421",154
"420",151
"419",155
"418",155
"417",155
"416",156
"415",157
"414",158
"413",156
"412",156
"411",156
"410",159
"409",160
"408",156
"407",161
"406",98
"405",160
"404",162
"403",154
"402",163
"401",163
"400",163
"399",163
"398",164
"397",165
"396",166
"395",167
"394",168
"393",169
"392",170
"391",102
"390",101
"389",152
"388",99
"387",151
"386",152
"385",151
"384",153
"383",171
"382",163
"381",163
"380",163
"379",151
"378",149
"377",150
"376",164
"375",165
"374",161
"373",78
"372",28
"371",133
"370",172
"369",173
"368",163
"367",174
"366",162
"365",162
"364",174
"363",162
"362",162
"361",175
"360",103
"359",78
"358",176
"357",172
"356",177
"355",177
"354",177
"353",178
"352",179
"351",180
"350",9
"349",181
"348",181
"347",182
"346",24
"345",24
"344",183
"343",182
"342",28
"341",181
"340",181
"339",34
"338",184
"337",185
"336",186
"335",122
"334",28
"333",187
"332",188
"331",188
"330",188
"329",188
"328",188
"327",188
"326",188
"325",188
"324",188
"323",188
"322",189
"321",190
"320",191
"319",78
"318",78
"317",192
"316",52
"315",38
"314",193
"313",38
"312",38
"311",194
"310",195
"309",195
"308",196
"307",197
"306",198
"305",9
"304",34
"303",37
"302",199
"301",200
"300",199
"299",44
"298",199
"297",199
"296",201
"295",199
"294",202
"293",203
"292",44
"291",37
"290",197
"289",199
"288",202
"287",202
"286",204
"285",205
"284",206
"283",207
"282",208
"281",209
"280",195
"279",210
"278",210
"277",210
"276",210
"275",211
"274",211
"273",211
"272",211
"271",34
"270",181
"269",212
"268",9
"267",111
"266",123
"265",123
"264",34
"263",34
"262",27
"261",193
"260",78
"259",96
"258",213
"257",211
"256",214
"255",215
"254",216
"253",6
"252",217
"251",218
"250",219
"249",219
"248",220
"247",191
"246",221
"245",222
"244",223
"243",223
"242",224
"241",6
"240",225
"239",191
"238",222
"237",222
"236",222
"235",222
"234",34
"233",222
"232",101
"231",34
"230",34
"229",226
"228",222
"227",6
"226",4
"225",227
"224",228
"223",229
"222",50
"221",230
"220",231
"219",34
"218",9
"217",232
"216",6
"215",223
"214",223
"213",233
"212",234
"211",173
"210",235
"209",236
"208",178
"207",178
"206",178
"205",178
"204",178
"203",178
"202",223
"201",237
"200",238
"199",89
"198",4
"197",238
"196",223
"195",239
"194",178
"193",223
"192",240
"191",223
"190",231
"189",241
"188",89
"187",221
"186",223
"185",222
"184",89
"183",223
"182",242
"181",243
"180",222
"179",221
"178",233
"177",244
"176",242
"175",245
"174",246
"173",247
"172",172
"171",248
"170",248
"169",248
"168",249
"167",250
"166",251
"165",252
"164",34
"163",253
"162",254
"161",255
"160",256
"159",257
"158",258
"157",259
"156",260
"155",261
"154",260
"153",262
"152",258
"151",258
"150",263
"149",264
"148",265
"147",263
"146",263
"145",263
"144",263
"143",263
"142",266
"141",263
"140",263
"139",263
"138",262
"137",267
"136",268
"135",28
"134",268
"133",269
"132",270
"131",269
"130",269
"129",271
"128",268
"127",268
"126",24
"125",237
"124",272
"123",225
"122",157
"121",268
"120",158
"119",158
"118",273
"117",136
"116",268
"115",268
"114",274
"113",274
"112",274
"111",275
"110",275
"109",276
"108",274
"107",274
"106",274
"105",74
"104",277
"103",278
"102",279
"101",280
"100",278
"99",278
"98",281
"97",15
