"","x"
"1",1
"2",2
"3",3
"4",4
"5",4
"6",5
"7",6
"8",7
"9",8
"10",4
"11",9
"12",7
"13",10
"14",11
"15",12
"16",13
"17",14
"18",4
"19",15
"20",4
"21",4
"22",15
"23",16
"24",8
"25",17
"26",18
"27",19
"28",20
"29",21
"30",8
"31",8
"32",8
"33",8
"34",8
"35",7
"36",22
"37",23
"38",24
"39",25
"40",26
"41",27
"42",28
"43",27
"44",27
"45",8
"46",29
"47",30
"48",31
"49",32
"50",33
"51",34
"52",35
"53",36
"54",37
"55",38
"56",39
"57",39
"58",40
"59",41
"60",42
"61",43
"62",44
"63",45
"64",46
"65",47
"66",48
"67",49
"68",14
"69",50
"70",51
"71",52
"72",37
"73",37
"74",37
"75",53
"76",37
"77",39
"78",39
"79",37
"80",37
"81",53
"82",54
"83",55
"84",56
"85",57
"86",58
"87",59
"88",37
"89",60
"90",61
"91",61
"92",61
"93",62
"94",63
"95",63
"96",63
"97",63
"98",63
"99",64
"100",65
"101",66
"102",67
"103",68
"104",69
"105",70
"106",71
"107",72
"108",73
"109",74
"110",75
"111",76
"112",77
"113",78
"114",78
"115",78
"116",79
"117",80
"118",81
"119",82
"120",83
"121",84
"122",85
"123",86
"124",87
"125",88
"126",87
"127",87
"128",89
"129",90
"130",91
"131",92
"132",93
"133",93
"134",94
"135",95
"136",96
"137",96
"138",96
"139",96
"140",97
"141",98
"142",99
"143",100
"144",101
"145",102
"146",103
"147",104
"148",105
"149",106
"150",39
"151",41
"152",39
"153",107
"154",39
"155",108
"156",39
"157",108
"158",39
"159",108
"160",109
"161",39
"162",108
"163",39
"164",108
"165",39
"166",108
"167",39
"168",108
"169",39
"170",108
"171",39
"172",108
"173",39
"174",108
"175",39
"176",108
"177",110
"178",111
"179",112
"180",59
"181",91
"182",113
"183",114
"184",115
"185",115
"186",114
"187",116
"188",117
"189",118
"190",119
"191",120
"192",120
"193",119
"194",119
"195",121
"196",122
"197",123
"198",120
"199",124
"200",125
"201",126
"202",127
"203",128
"204",129
"205",130
"206",130
"207",130
"208",130
"209",130
"210",130
"211",130
"212",130
"213",130
"214",130
"215",131
"216",132
"217",132
"218",130
"219",130
"220",130
"221",130
"222",133
"223",134
"224",135
"225",37
"226",37
"227",37
"228",37
"229",136
"230",137
"231",138
"232",139
"233",140
"234",141
"235",142
"236",143
"237",144
"238",145
"239",146
"240",138
"241",147
"242",140
"243",148
"244",149
"245",148
"246",150
"247",150
"248",151
"249",150
"250",152
"251",153
"252",153
"253",154
"254",155
"255",156
"256",150
"257",157
"258",158
"259",159
"260",160
"261",8
"262",161
"263",162
"264",163
"265",164
"266",165
"267",166
"268",162
"269",167
"270",168
"271",169
"272",170
"273",171
"274",12
"275",167
"276",172
"277",173
"278",174
"279",175
"280",176
"281",177
"282",178
"283",179
"284",173
"285",180
"286",181
"287",182
"288",183
"289",180
"290",183
"291",184
"292",185
"293",185
"294",185
"295",186
"296",187
"297",188
"298",189
"299",190
"300",191
"301",192
"302",193
"303",98
"304",194
"305",195
"306",196
"307",197
"308",198
"309",9
"310",199
"311",200
"312",201
"313",202
"314",200
"315",200
"316",202
"317",200
"318",200
"319",203
"320",9
"321",204
"322",205
"323",206
"324",207
"325",208
"326",209
"327",209
"328",207
"329",210
"330",210
"331",211
"332",125
"333",212
"334",213
"335",214
"336",212
"337",213
"338",214
"339",212
"340",213
"341",214
"342",212
"343",213
"344",214
"345",212
"346",213
"347",214
"348",212
"349",213
"350",214
"351",212
"352",215
"353",214
"354",212
"355",215
"356",214
"357",212
"358",215
"359",214
"360",212
"361",215
"362",214
"363",215
"364",212
"365",215
"366",214
"367",212
"368",215
"369",214
"370",215
"371",214
"372",215
"373",212
"374",214
"375",212
"376",213
"377",214
"378",212
"379",213
"380",214
"381",212
"382",216
"383",214
"384",217
"385",217
"386",217
"387",218
"388",218
"389",219
"390",219
"391",219
"392",220
"393",221
"394",216
"395",222
"396",219
"397",217
"398",223
"399",197
"400",216
"401",216
"402",211
"403",125
"404",138
"405",138
"406",224
"407",194
"408",224
"409",224
"410",225
"411",226
"412",194
"413",224
"414",110
"415",226
"416",194
"417",227
"418",227
"419",228
"420",194
"421",229
"422",110
"423",230
"424",231
"425",230
"426",231
"427",232
"428",233
"429",234
"430",235
"431",29
"432",217
"433",217
"434",217
"435",219
"436",217
"437",219
"438",216
"439",223
"440",223
"441",236
"442",223
"443",219
"444",237
"445",219
"446",219
"447",219
"448",236
"449",238
"450",237
"451",216
"452",223
