"","x"
"1",1
"2",2
"3",3
"4",2
"5",2
"6",2
"7",4
"8",5
"9",6
"10",7
"11",8
"12",5
"13",4
"14",9
"15",10
"16",11
"17",12
"18",13
"19",14
"20",15
"21",16
"22",10
"23",11
"24",9
"25",17
"26",18
"27",19
"28",15
"29",20
"30",21
"31",22
"32",23
"33",24
"34",23
"35",24
"36",25
"37",26
"38",27
"39",28
"40",29
"41",30
"42",31
"43",32
"44",33
"45",32
"46",34
"47",35
"48",36
"49",37
"50",38
"51",39
"52",40
"53",29
"54",39
"55",41
"56",35
"57",42
"58",43
"59",29
"60",38
"61",29
"62",38
"63",44
"64",45
"65",46
"66",47
"67",28
"68",17
"69",48
"70",44
"71",29
"72",38
"73",45
"74",46
"75",47
"76",28
"77",44
"78",38
"79",49
"80",29
"81",50
"82",28
"83",51
"84",51
"85",5
"86",8
"87",8
"88",52
"89",46
"90",17
"91",18
"92",11
"93",53
"94",54
"95",55
"96",55
"97",55
"98",56
"99",56
"100",57
"101",55
"102",55
"103",55
"104",58
"105",58
"106",59
"107",60
"108",60
"109",60
"110",58
"111",61
"112",62
"113",63
"114",64
"115",65
"116",58
"117",58
"118",66
"119",67
"120",67
"121",68
"122",67
"123",58
"124",69
"125",58
"126",70
"127",71
"128",72
"129",72
"130",72
"131",73
"132",72
"133",72
"134",72
"135",72
"136",72
"137",74
"138",75
"139",72
"140",76
"141",76
"142",71
"143",77
"144",78
"145",77
"146",79
"147",76
"148",80
"149",81
"150",82
"151",83
"152",84
"153",85
"154",86
"155",87
"156",88
"157",89
"158",90
"159",90
"160",90
"161",13
"162",91
"163",1
"164",92
"165",93
"166",94
"167",95
"168",96
"169",51
"170",97
"171",93
"172",98
"173",99
"174",51
"175",98
"176",96
"177",99
"178",100
"179",101
"180",98
"181",102
"182",98
"183",103
"184",104
"185",98
"186",105
"187",106
"188",99
"189",49
"190",64
"191",98
"192",103
"193",103
"194",103
"195",103
"196",103
"197",103
"198",107
"199",108
"200",109
"201",110
"202",95
"203",98
"204",98
"205",49
"206",111
"207",112
"208",85
"209",101
"210",113
"211",114
"212",115
"213",116
"214",117
"215",106
"216",49
"217",51
"218",118
"219",85
"220",85
"221",119
"222",51
"223",85
"224",51
"225",51
"226",51
"227",51
"228",120
"229",62
"230",49
"231",121
"232",98
"233",98
"234",51
"235",96
"236",120
"237",122
"238",101
"239",123
"240",124
"241",125
"242",49
"243",126
"244",127
"245",128
"246",129
"247",130
"248",131
"249",132
"250",133
"251",28
"252",85
"253",85
"254",134
"255",134
"256",135
"257",112
"258",136
"259",112
"260",85
"261",129
"262",129
"263",129
"264",129
"265",137
"266",137
"267",137
"268",137
"269",138
"270",139
"271",140
"272",141
"273",142
"274",143
"275",144
"276",145
"277",145
"278",146
"279",147
"280",148
"281",149
"282",150
"283",146
"284",146
"285",18
"286",146
"287",146
"288",13
"289",146
"290",47
"291",146
"292",148
"293",85
"294",112
"295",151
"296",147
"297",152
"298",138
"299",138
"300",153
"301",154
"302",154
"303",133
"304",154
"305",155
"306",156
"307",132
"308",132
"309",120
"310",157
"311",158
"312",159
"313",159
"314",159
"315",159
"316",159
"317",159
"318",159
"319",159
"320",159
"321",159
"322",160
"323",69
"324",3
"325",161
"326",162
"327",3
"328",85
"329",163
"330",112
"331",11
"332",164
"333",165
"334",65
"335",65
"336",164
"337",163
"338",163
"339",112
"340",166
"341",167
"342",103
"343",39
"344",168
"345",168
"346",13
"347",169
"348",132
"349",38
"350",33
"351",170
"352",170
"353",171
"354",170
"355",170
"356",171
"357",172
"358",109
"359",13
"360",173
"361",69
"362",132
"363",174
"364",175
"365",176
"366",177
"367",178
"368",179
"369",172
"370",172
"371",172
"372",180
"373",181
"374",179
"375",182
"376",179
"377",183
"378",182
"379",119
"380",184
"381",185
"382",186
"383",187
"384",188
"385",22
"386",175
"387",176
"388",172
"389",172
"390",172
"391",172
"392",189
"393",170
"394",190
"395",184
"396",174
"397",191
"398",190
"399",192
"400",191
"401",191
"402",191
"403",193
"404",61
"405",191
"406",194
"407",194
"408",194
"409",179
"410",189
"411",183
"412",189
"413",181
"414",179
"415",182
"416",179
"417",69
"418",132
"419",195
"420",177
"421",178
"422",196
"423",196
"424",183
"425",196
"426",196
"427",197
"428",27
"429",198
"430",199
"431",199
"432",199
"433",200
"434",201
"435",202
"436",203
"437",65
"438",204
"439",204
"440",204
"441",204
"442",27
"443",197
"444",205
"445",206
"446",195
"447",207
"448",208
"449",208
"450",208
"451",34
"452",209
