"","x"
"1",1
"2",2
"3",3
"4",2
"5",2
"6",2
"7",4
"8",5
"9",6
"10",7
"11",8
"12",5
"13",4
"14",9
"15",10
"16",11
"17",12
"18",13
"19",14
"20",15
"21",16
"22",10
"23",11
"24",9
"25",17
"26",18
"27",19
"28",15
"29",20
"30",21
"31",22
"32",23
"33",24
"34",25
"35",26
"36",27
"37",28
"38",29
"39",30
"40",30
"41",31
"42",32
"43",33
"44",34
"45",29
"46",35
"47",36
"48",37
"49",38
"50",39
"51",40
"52",41
"53",38
"54",42
"55",43
"56",43
"57",44
"58",45
"59",46
"60",46
"61",46
"62",46
"63",46
"64",47
"65",48
"66",49
"67",49
"68",49
"69",49
"70",50
"71",20
"72",21
"73",51
"74",52
"75",51
"76",52
"77",53
"78",54
"79",55
"80",56
"81",57
"82",58
"83",59
"84",60
"85",61
"86",60
"87",62
"88",63
"89",64
"90",65
"91",66
"92",67
"93",68
"94",57
"95",67
"96",69
"97",63
"98",70
"99",71
"100",57
"101",66
"102",57
"103",66
"104",72
"105",73
"106",74
"107",75
"108",56
"109",17
"110",76
"111",72
"112",57
"113",66
"114",73
"115",74
"116",75
"117",56
"118",72
"119",66
"120",77
"121",57
"122",78
"123",79
"124",79
"125",79
"126",80
"127",80
"128",81
"129",79
"130",79
"131",79
"132",82
"133",82
"134",83
"135",84
"136",84
"137",84
"138",82
"139",85
"140",86
"141",87
"142",88
"143",38
"144",82
"145",82
"146",89
"147",90
"148",90
"149",91
"150",90
"151",82
"152",92
"153",82
"154",93
"155",94
"156",95
"157",95
"158",95
"159",96
"160",95
"161",95
"162",95
"163",95
"164",95
"165",97
"166",98
"167",95
"168",99
"169",99
"170",94
"171",100
"172",101
"173",100
"174",102
"175",99
"176",103
"177",104
"178",105
"179",106
"180",107
"181",108
"182",109
"183",110
"184",111
"185",112
"186",113
"187",113
"188",113
"189",13
"190",114
"191",1
"192",115
"193",116
"194",117
"195",118
"196",119
"197",120
"198",121
"199",116
"200",120
"201",122
"202",120
"203",120
"204",119
"205",122
"206",123
"207",124
"208",120
"209",42
"210",120
"211",125
"212",122
"213",120
"214",43
"215",126
"216",122
"217",43
"218",88
"219",120
"220",125
"221",125
"222",125
"223",125
"224",125
"225",125
"226",127
"227",128
"228",129
"229",130
"230",118
"231",120
"232",120
"233",77
"234",131
"235",132
"236",108
"237",124
"238",133
"239",134
"240",135
"241",136
"242",137
"243",126
"244",77
"245",138
"246",139
"247",108
"248",108
"249",140
"250",138
"251",108
"252",138
"253",138
"254",138
"255",138
"256",141
"257",86
"258",77
"259",142
"260",120
"261",120
"262",92
"263",119
"264",141
"265",143
"266",124
"267",144
"268",145
"269",146
"270",77
"271",147
"272",148
"273",149
"274",35
"275",150
"276",56
"277",48
"278",151
"279",56
"280",108
"281",108
"282",152
"283",152
"284",153
"285",132
"286",154
"287",155
"288",108
"289",35
"290",35
"291",35
"292",35
"293",156
"294",156
"295",156
"296",156
"297",157
"298",158
"299",159
"300",160
"301",161
"302",162
"303",163
"304",164
"305",164
"306",165
"307",166
"308",167
"309",168
"310",169
"311",165
"312",165
"313",18
"314",165
"315",165
"316",13
"317",165
"318",75
"319",165
"320",167
"321",108
"322",132
"323",170
"324",166
"325",171
"326",157
"327",157
"328",172
"329",173
"330",173
"331",151
"332",173
"333",174
"334",175
"335",48
"336",48
"337",141
"338",176
"339",177
"340",178
"341",178
"342",178
"343",178
"344",178
"345",178
"346",178
"347",178
"348",178
"349",178
"350",179
"351",92
"352",3
"353",180
"354",181
"355",3
"356",108
"357",155
"358",155
"359",11
"360",182
"361",183
"362",38
"363",38
"364",182
"365",155
"366",155
"367",132
"368",184
"369",185
"370",125
"371",186
"372",186
"373",186
"374",13
"375",187
"376",48
"377",66
"378",61
"379",188
"380",188
"381",189
"382",188
"383",188
"384",189
"385",190
"386",129
"387",13
"388",191
"389",92
"390",48
"391",192
"392",193
"393",194
"394",195
"395",196
"396",197
"397",190
"398",190
"399",190
"400",198
"401",199
"402",197
"403",200
"404",197
"405",201
"406",200
"407",140
"408",202
"409",203
"410",204
"411",205
"412",206
"413",22
"414",193
"415",194
"416",190
"417",190
"418",190
"419",190
"420",207
"421",188
"422",208
"423",202
"424",192
"425",209
"426",208
"427",210
"428",209
"429",209
"430",209
"431",211
"432",85
"433",209
"434",212
"435",212
"436",212
"437",197
"438",207
"439",201
"440",207
"441",199
"442",197
"443",200
"444",197
"445",92
"446",48
"447",213
"448",195
"449",196
"450",214
"451",214
"452",201
