"","x"
"1",1
"2",2
"3",3
"4",4
"5",5
"6",1
"7",6
"8",7
"9",8
"10",9
"11",10
"12",10
"13",10
"14",11
"15",12
"16",7
"17",13
"18",14
"19",15
"20",16
"21",17
"22",18
"23",19
"24",20
"25",19
"26",19
"27",21
"28",22
"29",23
"30",24
"31",7
"32",25
"33",26
"34",27
"35",15
"36",28
"37",29
"38",27
"39",13
"40",7
"41",28
"42",30
"43",31
"44",32
"45",33
"46",34
"47",26
"48",35
"49",36
"50",37
"51",38
"52",39
"53",40
"54",41
"55",42
"56",43
"57",20
"58",44
"59",45
"60",46
"61",47
"62",48
"63",13
"64",49
"65",39
"66",50
"67",51
"68",28
"69",28
"70",46
"71",52
"72",53
"73",54
"74",55
"75",56
"76",32
"77",57
"78",58
"79",22
"80",7
"81",59
"82",60
"83",61
"84",62
"85",63
"86",64
"87",65
"88",65
"89",8
"90",66
"91",67
"92",13
"93",7
"94",68
"95",69
"96",70
"97",71
"98",72
"99",7
"100",13
"101",54
"102",34
"103",15
"104",38
"105",26
"106",50
"107",46
"108",51
"109",39
"110",35
"111",36
"112",30
"113",55
"114",32
"115",57
"116",46
"117",41
"118",42
"119",44
"120",43
"121",53
"122",20
"123",47
"124",7
"125",52
"126",48
"127",13
"128",49
"129",39
"130",28
"131",28
"132",73
"133",74
"134",75
"135",76
"136",77
"137",77
"138",7
"139",78
"140",79
"141",80
"142",81
"143",82
"144",83
"145",84
"146",85
"147",13
"148",46
"149",86
"150",87
"151",88
"152",89
"153",90
"154",91
"155",92
"156",8
"157",46
"158",9
"159",93
"160",94
"161",95
"162",96
"163",97
"164",98
"165",99
"166",99
"167",100
"168",101
"169",10
"170",102
"171",46
"172",103
"173",104
"174",105
"175",48
"176",106
"177",107
"178",108
"179",109
"180",110
"181",111
"182",112
"183",113
"184",7
"185",10
"186",10
"187",114
"188",115
"189",116
"190",117
"191",118
"192",53
"193",99
"194",99
"195",84
"196",119
"197",120
"198",121
"199",122
"200",123
"201",124
"202",95
"203",80
"204",103
"205",9
"206",54
"207",125
"208",126
"209",127
"210",128
"211",128
"212",128
"213",129
"214",24
"215",130
"216",131
"217",132
"218",11
"219",133
"220",134
"221",135
"222",136
"223",22
"224",137
"225",7
"226",138
"227",139
"228",30
"229",11
"230",12
"231",140
"232",7
"233",141
"234",7
"235",142
"236",143
"237",144
"238",145
"239",146
"240",147
"241",148
"242",149
"243",7
"244",150
"245",151
"246",152
"247",28
"248",7
"249",81
"250",98
"251",84
"252",46
"253",95
"254",18
"255",99
"256",99
"257",15
"258",7
"259",13
"260",153
"261",18
"262",154
"263",155
"264",156
"265",157
"266",157
"267",157
"268",157
"269",157
"270",158
"271",159
"272",131
"273",95
"274",94
"275",156
"276",156
"277",160
"278",161
"279",156
"280",122
"281",88
"282",162
"283",163
"284",162
"285",164
"286",165
"287",18
"288",15
"289",7
"290",166
"291",167
"292",168
"293",169
"294",168
"295",170
"296",31
"297",171
"298",152
"299",172
"300",173
"301",22
"302",174
"303",175
"304",99
"305",99
"306",81
"307",176
"308",99
"309",99
"310",177
"311",131
"312",176
"313",16
"314",178
"315",28
"316",18
"317",41
"318",99
"319",99
"320",179
"321",180
"322",181
"323",182
"324",176
"325",99
"326",99
"327",177
"328",57
"329",176
"330",176
"331",99
"332",99
"333",177
"334",176
"335",183
"336",184
"337",28
"338",179
"339",185
"340",185
"341",44
"342",99
"343",130
"344",186
"345",187
"346",39
"347",16
"348",130
"349",185
"350",57
"351",188
"352",99
"353",18
"354",47
"355",52
"356",48
"357",13
"358",49
"359",39
"360",178
"361",63
"362",189
"363",181
"364",190
"365",30
"366",191
"367",173
"368",20
"369",192
"370",193
"371",194
"372",193
"373",195
"374",196
"375",197
"376",194
"377",198
"378",31
"379",199
"380",200
"381",168
"382",200
"383",201
"384",202
"385",203
"386",204
"387",204
"388",205
"389",205
"390",206
"391",207
"392",208
"393",209
"394",210
"395",211
"396",212
"397",213
"398",214
"399",215
"400",216
"401",217
"402",218
"403",216
"404",216
"405",219
"406",220
"407",221
"408",211
"409",163
"410",213
"411",222
"412",223
"413",224
"414",225
"415",216
"416",226
"417",218
"418",214
"419",69
"420",227
"421",228
"422",229
"423",230
"424",231
"425",228
"426",186
"427",232
"428",233
"429",234
"430",235
"431",236
"432",226
"433",237
"434",237
"435",238
"436",239
"437",240
"438",236
"439",109
"440",109
"441",241
"442",242
"443",243
"444",244
"445",243
"446",245
"447",246
"448",247
"449",248
"450",249
"451",250
"452",251
