"","x"
"1",1
"2",2
"3",3
"4",4
"5",5
"6",6
"7",7
"8",8
"9",8
"10",8
"11",8
"12",8
"13",9
"14",8
"15",8
"16",8
"17",8
"18",8
"19",10
"20",11
"21",12
"22",10
"23",13
"24",4
"25",4
"26",13
"27",10
"28",14
"29",10
"30",13
"31",13
"32",15
"33",16
"34",16
"35",16
"36",16
"37",16
"38",16
"39",11
"40",17
"41",18
"42",4
"43",19
"44",19
"45",20
"46",20
"47",20
"48",3
"49",2
"50",21
"51",22
"52",3
"53",23
"54",18
"55",4
"56",24
"57",25
"58",25
"59",24
"60",11
"61",18
"62",17
"63",11
"64",26
"65",27
"66",28
"67",26
"68",26
"69",29
"70",29
"71",11
"72",3
"73",30
"74",31
"75",3
"76",32
"77",8
"78",8
"79",8
"80",8
"81",8
"82",8
"83",3
"84",33
"85",34
"86",12
"87",13
"88",14
"89",10
"90",10
"91",35
"92",36
"93",37
"94",38
"95",39
"96",40
"97",41
"98",42
"99",43
"100",43
"101",44
"102",45
"103",45
"104",45
"105",45
"106",46
"107",47
"108",48
"109",49
"110",50
"111",51
"112",51
"113",52
"114",53
"115",54
"116",55
"117",56
"118",57
"119",58
"120",59
"121",60
"122",61
"123",62
"124",63
"125",64
"126",65
"127",66
"128",67
"129",67
"130",68
"131",69
"132",70
"133",70
"134",70
"135",70
"136",70
"137",71
"138",72
"139",73
"140",74
"141",75
"142",76
"143",77
"144",78
"145",79
"146",80
"147",81
"148",79
"149",82
"150",83
"151",84
"152",85
"153",86
"154",87
"155",88
"156",88
"157",89
"158",90
"159",91
"160",92
"161",93
"162",94
"163",94
"164",94
"165",94
"166",61
"167",62
"168",63
"169",64
"170",65
"171",66
"172",67
"173",67
"174",68
"175",69
"176",70
"177",70
"178",70
"179",70
"180",70
"181",95
"182",48
"183",61
"184",96
"185",62
"186",63
"187",64
"188",68
"189",69
"190",70
"191",70
"192",70
"193",70
"194",70
"195",97
"196",97
"197",97
"198",98
"199",99
"200",100
"201",101
"202",101
"203",97
"204",102
"205",103
"206",97
"207",104
"208",97
"209",105
"210",106
"211",107
"212",97
"213",108
"214",109
"215",110
"216",110
"217",20
"218",111
"219",34
"220",34
"221",34
"222",109
"223",50
"224",112
"225",113
"226",114
"227",50
"228",115
"229",116
"230",117
"231",117
"232",117
"233",118
"234",119
"235",119
"236",120
"237",121
"238",122
"239",123
"240",124
"241",125
"242",126
"243",127
"244",128
"245",129
"246",130
"247",131
"248",132
"249",133
"250",134
"251",134
"252",125
"253",135
"254",136
"255",137
"256",138
"257",125
"258",126
"259",123
"260",134
"261",134
"262",139
"263",140
"264",141
"265",125
"266",142
"267",143
"268",144
"269",145
"270",145
"271",122
"272",125
"273",146
"274",127
"275",128
"276",147
"277",148
"278",149
"279",149
"280",149
"281",149
"282",149
"283",149
"284",149
"285",149
"286",149
"287",149
"288",149
"289",149
"290",149
"291",149
"292",149
"293",149
"294",149
"295",149
"296",149
"297",149
"298",149
"299",149
"300",150
"301",150
"302",148
"303",151
"304",152
"305",153
"306",154
"307",155
"308",156
"309",157
"310",154
"311",158
"312",152
"313",153
"314",154
"315",155
"316",156
"317",157
"318",154
"319",155
"320",156
"321",157
"322",150
"323",150
"324",154
"325",151
"326",152
"327",153
"328",154
"329",151
"330",152
"331",153
"332",150
"333",150
"334",152
"335",18
"336",159
"337",148
"338",158
"339",152
"340",153
"341",159
"342",160
"343",161
"344",162
"345",159
"346",163
"347",164
"348",165
"349",159
"350",166
"351",36
"352",40
"353",167
"354",159
"355",168
"356",169
"357",170
"358",171
"359",148
"360",158
"361",172
"362",159
"363",173
"364",159
"365",174
"366",175
"367",176
"368",177
"369",177
"370",177
"371",159
"372",178
"373",159
"374",178
"375",159
"376",178
"377",149
"378",159
"379",178
"380",159
"381",178
"382",159
"383",179
"384",180
"385",181
"386",182
"387",183
"388",184
"389",185
"390",185
"391",186
"392",187
"393",188
"394",189
"395",190
"396",180
"397",191
"398",191
"399",192
"400",193
"401",194
"402",195
"403",196
"404",197
"405",198
"406",159
"407",199
"408",200
"409",201
"410",200
"411",202
"412",203
"413",204
"414",205
"415",168
"416",206
"417",207
"418",207
"419",206
"420",207
"421",207
"422",206
"423",207
"424",207
"425",206
"426",207
"427",207
"428",151
"429",151
"430",206
"431",207
"432",207
"433",206
"434",207
"435",207
"436",206
"437",207
"438",207
"439",206
"440",207
"441",207
"442",206
"443",207
"444",207
"445",206
"446",207
"447",207
"448",167
"449",167
"450",208
"451",167
"452",171
